Node,Rank,PageRank,num_followers,verified_followers,following,total_tweets,total_retweets,total_commenters,total_reposters
solnftradar,253,2.4807562709135173e-05,57600,20,20,5,5,11,153
BLKCHAINSUPP,254,2.4790463459959268e-05,1738,20,17,5,5,26,32
CBaalsac,255,2.4780824818656504e-05,507,19,20,5,5,1,108
DeFiDemon89,256,2.477271615409628e-05,687,20,19,2,5,0,78
bitcoin__apex,257,2.475049543346307e-05,23800,20,19,5,5,58,10
Peterinweb3,258,2.4704134242107057e-05,6392,20,19,0,5,0,78
NFTgirl,259,2.469861497160789e-05,87500,20,19,5,5,32,59
Here2DeFi,260,2.469398389390048e-05,5272,20,19,5,5,7,30
JOJO_cryptoinfo,261,2.467755000400639e-05,4225,19,17,5,5,22,68
BitcoinMaxiHodl,262,2.4677105883463592e-05,8374,20,19,5,5,51,117
JasonCryptoFTW,263,2.466634179863756e-05,81500,20,18,5,5,57,160
_DeFi_avax,264,2.4655397698288232e-05,1547,20,19,5,0,49,0
crypto888crypto,265,2.4647359009321816e-05,189900,20,19,4,5,80,110
JasCrypto_,266,2.463537091875452e-05,120800,20,18,5,3,107,98
AthenaLabsHQ,267,2.4606644342446743e-05,1080,19,19,5,5,7,76
BitcoinBirch,268,2.4597203224151857e-05,70800,20,20,5,5,31,38
nftscan_com,269,2.459486176179392e-05,145200,20,19,4,4,29,58
GrandmasterDeFi,271,2.4486853758830254e-05,9176,20,18,5,5,22,95
defimarketcap,272,2.4401575285291507e-05,5316,20,19,5,5,46,54
Engr_Etok,274,2.42826748932432e-05,1046,19,20,5,5,11,63
mrbrown_nft,275,2.425473053909136e-05,136500,20,20,5,4,118,122
CyberFrogsNFT,276,2.4254059042476527e-05,27000,20,19,5,3,50,33
JCtechfuture,277,2.420687442859381e-05,19200,20,19,5,5,11,22
YusufDeFi,278,2.418161062291665e-05,5553,20,19,1,5,0,88
BitcoinSVtrain,279,2.417923891673076e-05,5403,20,18,5,5,9,55
